char_a,char_b,a_win_rate,b_win_rate,a_win_count,b_win_count
Kiana,Mei,0.8547,0.1453,8547,1453
Kiana,Bronya,0.5995,0.4005,5995,4005
Kiana,Himeko,0.9087,0.0913,9087,913
Kiana,Rita,0.7832,0.2168,7832,2168
Kiana,YaeAndKallen,0.4263,0.5737,4263,5737
Kiana,Corvus,0.4225,0.5775,4225,5775
Kiana,Theresa,0.8722,0.1278,8722,1278
Kiana,Gemini,0.4995,0.5005,4995,5005
Kiana,Selee,0.3855,0.6145,3855,6145
Kiana,Durandal,0.6387,0.3613,6387,3613
Kiana,Hua,1.0,0.0,10000,0
Mei,Bronya,0.3223,0.6777,3223,6777
Mei,Himeko,0.9129,0.0871,9129,871
Mei,Rita,0.1385,0.8615,1385,8615
Mei,YaeAndKallen,0.0793,0.9207,793,9207
Mei,Corvus,0.2571,0.7429,2571,7429
Mei,Theresa,0.5056,0.4944,5056,4944
Mei,Gemini,0.4997,0.5003,4997,5003
Mei,Selee,0.1624,0.8376,1624,8376
Mei,Durandal,0.1764,0.8236,1764,8236
Mei,Hua,0.0173,0.9827,173,9827
Bronya,Himeko,0.9475,0.0525,9475,525
Bronya,Rita,0.4043,0.5957,4043,5957
Bronya,YaeAndKallen,0.6881,0.3119,6881,3119
Bronya,Corvus,0.6168,0.3832,6168,3832
Bronya,Theresa,0.4043,0.5957,4043,5957
Bronya,Gemini,0.4461,0.5539,4461,5539
Bronya,Selee,0.3492,0.6508,3492,6508
Bronya,Durandal,0.704,0.296,7040,2960
Bronya,Hua,0.6846,0.3154,6846,3154
Himeko,Rita,0.2217,0.7783,2217,7783
Himeko,YaeAndKallen,0.5631,0.4369,5631,4369
Himeko,Corvus,0.0471,0.9529,471,9529
Himeko,Theresa,0.0674,0.9326,674,9326
Himeko,Gemini,0.0208,0.9792,208,9792
Himeko,Selee,0.061,0.939,610,9390
Himeko,Durandal,0.3199,0.6801,3199,6801
Himeko,Hua,0.0035,0.9965,35,9965
Rita,YaeAndKallen,0.6347,0.3653,6347,3653
Rita,Corvus,0.5088,0.4912,5088,4912
Rita,Theresa,0.638,0.362,6380,3620
Rita,Gemini,0.5076,0.4924,5076,4924
Rita,Selee,0.6283,0.3717,6283,3717
Rita,Durandal,0.6569,0.3431,6569,3431
Rita,Hua,0.0003,0.6566,3,6566
YaeAndKallen,Corvus,0.0673,0.9327,673,9327
YaeAndKallen,Theresa,0.2533,0.7467,2533,7467
YaeAndKallen,Gemini,0.4472,0.5528,4472,5528
YaeAndKallen,Selee,0.5206,0.4794,5206,4794
YaeAndKallen,Durandal,0.6107,0.3893,6107,3893
YaeAndKallen,Hua,0.7779,0.2221,7779,2221
Corvus,Theresa,0.4937,0.5063,4937,5063
Corvus,Gemini,0.5044,0.4956,5044,4956
Corvus,Selee,0.7589,0.2411,7589,2411
Corvus,Durandal,0.7313,0.2687,7313,2687
Corvus,Hua,0.0,1.0,0,10000
Theresa,Gemini,0.503,0.497,5030,4970
Theresa,Selee,0.5862,0.4138,5862,4138
Theresa,Durandal,0.6033,0.3967,6033,3967
Theresa,Hua,0.2461,0.7539,2461,7539
Gemini,Selee,0.5026,0.4974,5026,4974
Gemini,Durandal,0.4159,0.5841,4159,5841
Gemini,Hua,0.4947,0.5053,4947,5053
Selee,Durandal,1.0,0.0,10000,0
Selee,Hua,0.0147,0.9853,147,9853
Durandal,Hua,0.1336,0.8664,1336,8664
