char_a,char_b,a_win_count,b_win_count,b_win_rate,a_win_rate
Kiana,Mei,864,0.864,136,0.136
Kiana,Bronya,609,0.609,391,0.391
Kiana,Himeko,913,0.913,87,0.087
Kiana,Rita,774,0.774,226,0.226
Kiana,YaeAndKallen,460,0.46,540,0.54
Kiana,Corvus,413,0.413,587,0.587
Kiana,Theresa,858,0.858,142,0.142
Kiana,Gemini,485,0.485,515,0.515
Kiana,Selee,372,0.372,628,0.628
Kiana,Durandal,641,0.641,359,0.359
Kiana,Hua,1000,1.0,0,0.0
Mei,Bronya,330,0.33,670,0.67
Mei,Himeko,899,0.899,101,0.101
Mei,Rita,149,0.149,851,0.851
Mei,YaeAndKallen,82,0.082,918,0.918
Mei,Corvus,266,0.266,734,0.734
Mei,Theresa,495,0.495,505,0.505
Mei,Gemini,503,0.503,497,0.497
Mei,Selee,156,0.156,844,0.844
Mei,Durandal,202,0.202,798,0.798
Mei,Hua,23,0.023,977,0.977
Bronya,Himeko,946,0.946,54,0.054
Bronya,Rita,442,0.442,558,0.558
Bronya,YaeAndKallen,671,0.671,329,0.329
Bronya,Corvus,628,0.628,372,0.372
Bronya,Theresa,398,0.398,602,0.602
Bronya,Gemini,421,0.421,579,0.579
Bronya,Selee,354,0.354,646,0.646
Bronya,Durandal,701,0.701,299,0.299
Bronya,Hua,691,0.691,309,0.309
Himeko,Rita,215,0.215,785,0.785
Himeko,YaeAndKallen,551,0.551,449,0.449
Himeko,Corvus,39,0.039,961,0.961
Himeko,Theresa,59,0.059,941,0.941
Himeko,Gemini,17,0.017,983,0.983
Himeko,Selee,50,0.05,950,0.95
Himeko,Durandal,286,0.286,714,0.714
Himeko,Hua,2,0.002,998,0.998
Rita,YaeAndKallen,610,0.61,390,0.39
Rita,Corvus,472,0.472,528,0.528
Rita,Theresa,624,0.624,376,0.376
Rita,Gemini,492,0.492,508,0.508
Rita,Selee,622,0.622,378,0.378
Rita,Durandal,671,0.671,329,0.329
Rita,Hua,0,0.0,673,0.673
YaeAndKallen,Corvus,70,0.07,930,0.93
YaeAndKallen,Theresa,266,0.266,734,0.734
YaeAndKallen,Gemini,431,0.431,569,0.569
YaeAndKallen,Selee,535,0.535,465,0.465
YaeAndKallen,Durandal,580,0.58,420,0.42
YaeAndKallen,Hua,773,0.773,227,0.227
Corvus,Theresa,492,0.492,508,0.508
Corvus,Gemini,508,0.508,492,0.492
Corvus,Selee,761,0.761,239,0.239
Corvus,Durandal,736,0.736,264,0.264
Corvus,Hua,0,0.0,1000,1.0
Theresa,Gemini,488,0.488,512,0.512
Theresa,Selee,583,0.583,417,0.417
Theresa,Durandal,592,0.592,408,0.408
Theresa,Hua,257,0.257,743,0.743
Gemini,Selee,490,0.49,510,0.51
Gemini,Durandal,448,0.448,552,0.552
Gemini,Hua,501,0.501,499,0.499
Selee,Durandal,1000,1.0,0,0.0
Selee,Hua,19,0.019,981,0.981
Durandal,Hua,128,0.128,872,0.872
